"","age","total_children","feelings_life","sex","place_birth_canada","marital_status","vis_minority","citizenship_status","education","average_hours_worked","self_rated_health","self_rated_mental_health","language_home","language_knowledge","occupation","income_respondent"
"2131",80,2,10,"Female","Born outside Canada","Widowed","Not a visible minority","By naturalization","High school diploma or a high school equivalency certificate","0.1 to 29.9 hours","Fair","Excellent","English","English only","Business, finance, and administration occupations","3"
"2132",52.7,2,8,"Male","Born in Canada","Married","Not a visible minority","By birth","College, CEGEP or other non-university certificate or di...","40.1 to 50.0 hours","Good","Very good","French","Both English and French","Business, finance, and administration occupations","3"
"2134",48.2,1,9,"Male","Born in Canada","Married","Not a visible minority","By birth","Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","30.0 to 40.0 hours","Very good","Excellent","English","English only","Natural and applied sciences and related occupations","4"
"2136",66.5,1,10,"Female","Born in Canada","Married","Not a visible minority","By birth","High school diploma or a high school equivalency certificate","30.0 to 40.0 hours","Excellent","Very good","English","English only","Business, finance, and administration occupations","5"
"2137",55.5,1,8,"Female","Born in Canada","Single, never married","Not a visible minority","By birth","Less than high school diploma or its equivalent","0.1 to 29.9 hours","Very good","Very good","French","French only","Sales and service occupations","1"
"2139",65.8,2,9,"Male","Born outside Canada","Married","Not a visible minority","By naturalization","University certificate, diploma or degree above the bach...","30.0 to 40.0 hours","Excellent","Excellent","English","Both English and French","Business, finance, and administration occupations","4"
"2141",38,4,8,"Female","Born in Canada","Married","Not a visible minority","By birth","Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","30.0 to 40.0 hours","Good","Fair","English","English only","Occupations in education, law and social, community and ...","2"
"2142",47.5,0,7,"Female","Born in Canada","Married","Not a visible minority","By birth","University certificate or diploma below the bachelor's level","0.1 to 29.9 hours","Excellent","Very good","English","English only","Occupations in art, culture, recreation and sport","2"
"2144",60.6,1,10,"Female","Born in Canada","Separated","Not a visible minority","By birth","High school diploma or a high school equivalency certificate","30.0 to 40.0 hours","Good","Excellent","English","English only","Sales and service occupations","1"
"2145",56.8,2,9,"Male","Born in Canada","Married","Not a visible minority","By birth","Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","30.0 to 40.0 hours","Excellent","Excellent","English and French","Both English and French","Business, finance, and administration occupations","4"
"2147",19.8,0,6,"Female","Born in Canada","Living common-law","Not a visible minority","By birth","College, CEGEP or other non-university certificate or di...","30.0 to 40.0 hours","Very good","Good","English","Both English and French","Sales and service occupations","1"
"2148",50.8,2,10,"Male","Born in Canada","Married","Not a visible minority","By birth","University certificate, diploma or degree above the bach...","50.1 hours and more","Very good","Excellent","English","English only","Management occupations","2"
"2149",49.7,1,8,"Male","Born outside Canada","Divorced","Not a visible minority","By naturalization","College, CEGEP or other non-university certificate or di...","30.0 to 40.0 hours","Good","Good","Non-official languages","Both English and French","Trades, transport and equipment operators and related oc...","3"
"2151",58.6,0,8,"Male","Born outside Canada","Single, never married","Not a visible minority","By naturalization","High school diploma or a high school equivalency certificate","30.0 to 40.0 hours","Good","Good","Non-official languages","English only","Sales and service occupations","2"
"2153",60.3,3,7,"Female","Born in Canada","Divorced","Not a visible minority","By birth","Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","40.1 to 50.0 hours","Fair","Very good","English","English only","Occupations in education, law and social, community and ...","2"
"2154",73.7,2,10,"Male","Born in Canada","Married","Not a visible minority","By birth","University certificate or diploma below the bachelor's level","30.0 to 40.0 hours","Excellent","Excellent","English","English only","Management occupations","5"
"2155",58.3,2,10,"Female","Born outside Canada","Married","Not a visible minority","By naturalization","University certificate or diploma below the bachelor's level","30.0 to 40.0 hours","Very good","Excellent","Non-official languages","English only","Business, finance, and administration occupations","3"
"2160",39.3,0,9,"Male","Born in Canada","Single, never married","Visible minority","By birth","University certificate, diploma or degree above the bach...","30.0 to 40.0 hours","Excellent","Excellent","English","Both English and French","Natural and applied sciences and related occupations","5"
"2161",63.3,0,9,"Male","Born in Canada","Married","Not a visible minority","By birth","High school diploma or a high school equivalency certificate","40.1 to 50.0 hours","Very good","Very good","English","English only","Trades, transport and equipment operators and related oc...","2"
"2162",65.3,2,9,"Male","Born outside Canada","Divorced","Visible minority","By naturalization","Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","30.0 to 40.0 hours","Very good","Very good","English","English only","Sales and service occupations","3"
"2163",54.6,0,10,"Female","Born in Canada","Living common-law","Not a visible minority","By birth","College, CEGEP or other non-university certificate or di...","30.0 to 40.0 hours","Good","Excellent","French","Both English and French","Business, finance, and administration occupations","3"
"2164",23.9,0,9,"Male","Born in Canada","Single, never married","Not a visible minority","By birth","College, CEGEP or other non-university certificate or di...","0.1 to 29.9 hours","Very good","Very good","French","French only","Sales and service occupations","1"
"2165",68.9,4,10,"Male","Born in Canada","Married","Not a visible minority","By birth","High school diploma or a high school equivalency certificate","50.1 hours and more","Very good","Very good","English","English only","Sales and service occupations","6"
"2167",17.6,0,9,"Female","Born in Canada","Single, never married","Not a visible minority","By birth","High school diploma or a high school equivalency certificate","30.0 to 40.0 hours","Excellent","Excellent","English","English only","Health occupations","1"
"2170",69.7,0,7,"Male","Born in Canada","Single, never married","Not a visible minority","By birth","High school diploma or a high school equivalency certificate","0.1 to 29.9 hours","Good","Very good","English","English only","Sales and service occupations","2"
"2171",42.5,0,8,"Male","Born in Canada","Married","Not a visible minority","By birth","Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","30.0 to 40.0 hours","Good","Very good","English","English only","Natural and applied sciences and related occupations","5"
"2172",46,0,7,"Female","Born in Canada","Married","Not a visible minority","By birth","College, CEGEP or other non-university certificate or di...","30.0 to 40.0 hours","Good","Good","English","English only","Business, finance, and administration occupations","2"
"2174",39.8,3,10,"Male","Born outside Canada","Single, never married","Don't know","By naturalization","College, CEGEP or other non-university certificate or di...","30.0 to 40.0 hours","Excellent","Excellent","English","English only","Natural resources, agriculture and related production oc...","4"
"2175",35.3,3,10,"Female","Born in Canada","Married","Not a visible minority","By birth","Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","30.0 to 40.0 hours","Very good","Very good","English","Both English and French","Natural and applied sciences and related occupations","3"
"2176",47.8,1,8,"Female","Born outside Canada","Divorced","Visible minority","By naturalization","University certificate or diploma below the bachelor's level","40.1 to 50.0 hours","Good","Very good","Non-official languages","English only","Occupations in education, law and social, community and ...","2"
